Text_Response,HealthLiteracy_Score,HealthNumeracy_Score,TrustInDoctors_Score,AnxietyVisiting_Score,DrugExperience_Rating,Age,Gender,Race,Income,Education
Medical journals help me stay informed about my condition. Visiting the doctor makes me nervous.,8.8,8.0,6.7,9.8,3.7,48,Male,Asian,"> £50,000",University Degree
I understand most medical terms and ask informed questions.,9.8,1.5,2.3,5.1,2.5,36,Female,Asian,"> £50,000",High School
My doctor uses terminology I understand well. I trust my doctor and their advice completely.,8.0,2.4,9.8,3.8,2.7,45,Non-binary,Black,"< £30,000",University Degree
"After a few trials, I found the right medication for my condition.",3.5,6.2,1.5,2.3,4.0,57,Male,Other,"< £30,000",College Diploma
"I don’t get what doctors say most of the time. I’ve had the same doctor for years, and I feel confident in their care.",2.7,3.1,8.1,1.8,2.7,30,Male,White,"£30,000-£50,000",High School
"I don’t get what doctors say most of the time. I’ve had the same doctor for years, and I feel confident in their care. Medication has been effective in managing my symptoms.",1.2,4.1,7.3,1.8,4.6,28,Non-binary,Asian,"> £50,000",College Diploma
I always research symptoms and medication before appointments. Doctors have always helped me recover well.,9.2,1.9,9.9,3.7,1.3,78,Non-binary,Not Specified,"> £50,000",High School
I feel lost when reading health information. I have had mostly positive experiences with prescribed medications.,1.0,4.7,6.7,4.0,4.3,73,Non-binary,Other,"< £30,000",Postgraduate
My doctor uses terminology I understand well. I get sweaty palms before appointments. My physician always listens to me.,7.4,4.2,7.6,9.5,1.4,56,Non-binary,Asian,"> £50,000",High School
,3.8,5.2,5.5,5.9,2.2,25,Non-binary,Not Specified,"< £30,000",High School
My doctor uses terminology I understand well.,7.0,6.8,6.2,2.0,2.9,32,Female,Other,"£30,000-£50,000",High School
My physician always listens to me.,4.2,5.4,9.3,5.3,1.1,63,Male,White,"< £30,000",University Degree
My trust in healthcare professionals is very high.,4.9,8.4,8.0,5.6,2.0,65,Male,Not Specified,"£30,000-£50,000",College Diploma
I trust my doctor and their advice completely.,5.2,6.1,10.0,6.8,3.8,43,Male,White,"< £30,000",University Degree
"My trust in healthcare professionals is very high. After a few trials, I found the right medication for my condition.",5.4,4.2,8.3,5.5,5.0,38,Male,Asian,"< £30,000",College Diploma
Doctors have always helped me recover well.,5.1,1.6,7.1,1.4,2.0,77,Female,Not Specified,"> £50,000",College Diploma
,4.2,7.7,5.4,1.3,3.5,71,Non-binary,Black,"> £50,000",High School
Clinics give me panic attacks sometimes.,4.7,9.3,5.5,7.4,1.9,21,Female,Other,"> £50,000",Postgraduate
My doctor uses terminology I understand well. My trust in healthcare professionals is very high.,7.8,7.5,9.1,1.3,2.8,70,Female,Other,"< £30,000",College Diploma
My doctor uses terminology I understand well. Clinics give me panic attacks sometimes.,7.1,1.9,4.7,9.5,2.7,74,Male,Not Specified,"> £50,000",Postgraduate
"I understand most medical terms and ask informed questions. I’ve had the same doctor for years, and I feel confident in their care.",9.9,1.5,7.5,6.2,3.0,70,Female,Other,"> £50,000",High School
Medical journals help me stay informed about my condition. Visiting the doctor makes me nervous. I trust my doctor and their advice completely.,9.7,2.2,9.1,7.2,2.0,58,Male,Not Specified,"£30,000-£50,000",College Diploma
I always research symptoms and medication before appointments. I trust my doctor and their advice completely. Prescription drugs really helped my chronic pain.,9.1,4.9,8.3,4.5,4.4,33,Female,Not Specified,"£30,000-£50,000",High School
,6.7,2.3,6.8,2.7,2.6,27,Non-binary,Not Specified,"< £30,000",College Diploma
I feel lost when reading health information.,2.5,1.2,2.9,5.8,2.9,75,Male,Not Specified,"< £30,000",High School
Visiting the doctor makes me nervous. My trust in healthcare professionals is very high.,5.5,3.2,7.2,7.3,2.4,72,Non-binary,Black,"£30,000-£50,000",College Diploma
I always research symptoms and medication before appointments. Doctors have always helped me recover well.,8.9,6.8,7.4,3.5,1.0,64,Male,Not Specified,"£30,000-£50,000",University Degree
I always research symptoms and medication before appointments.,8.8,8.4,2.1,4.4,3.6,78,Female,Other,"£30,000-£50,000",High School
,6.9,8.7,2.3,4.9,1.4,45,Non-binary,Asian,"> £50,000",College Diploma
"I’ve had the same doctor for years, and I feel confident in their care. Prescription drugs really helped my chronic pain.",4.5,1.1,9.1,5.7,4.4,18,Non-binary,Not Specified,"> £50,000",High School
I feel lost when reading health information. Medication has been effective in managing my symptoms.,1.5,3.0,3.3,4.5,4.2,67,Male,Not Specified,"< £30,000",Postgraduate
"Some drugs caused side effects, but I worked with my doctor to adjust.",4.5,2.8,1.6,1.7,4.0,79,Female,White,"£30,000-£50,000",High School
My trust in healthcare professionals is very high.,5.0,7.5,7.1,2.2,1.6,80,Non-binary,Other,"> £50,000",College Diploma
My doctor uses terminology I understand well.,7.8,7.5,4.4,1.7,1.0,62,Female,Asian,"> £50,000",Postgraduate
,3.6,1.1,3.1,4.8,1.5,65,Non-binary,White,"> £50,000",College Diploma
I feel lost when reading health information. Visiting the doctor makes me nervous.,1.9,9.1,6.3,9.4,2.4,62,Female,Other,"£30,000-£50,000",Postgraduate
My doctor uses terminology I understand well.,7.1,2.8,6.6,2.2,1.0,66,Male,Not Specified,"£30,000-£50,000",High School
"I feel confident navigating health portals and understanding prescriptions. I’ve had the same doctor for years, and I feel confident in their care.",9.4,6.0,9.3,4.0,2.3,38,Female,Black,"£30,000-£50,000",College Diploma
I feel really anxious before seeing any doctor.,4.6,7.4,6.1,9.3,1.1,32,Non-binary,Asian,"> £50,000",Postgraduate
Medical journals help me stay informed about my condition.,7.4,4.0,2.6,5.6,3.0,66,Female,Asian,"< £30,000",High School
It’s hard to follow what my doctor says.,2.2,2.8,4.7,4.7,2.3,35,Non-binary,Other,"< £30,000",Postgraduate
It’s hard to follow what my doctor says. I feel really anxious before seeing any doctor. My trust in healthcare professionals is very high.,2.3,1.0,9.7,9.5,2.9,55,Female,White,"£30,000-£50,000",Postgraduate
"Medical journals help me stay informed about my condition. Some drugs caused side effects, but I worked with my doctor to adjust.",10.0,7.1,1.6,2.1,4.7,18,Non-binary,Not Specified,"£30,000-£50,000",University Degree
Doctors have always helped me recover well.,6.7,8.6,9.1,5.0,1.2,53,Female,Not Specified,"> £50,000",University Degree
I don’t get what doctors say most of the time.,2.7,1.6,2.7,4.7,1.5,35,Male,Not Specified,"< £30,000",University Degree
I feel lost when reading health information.,2.5,5.0,4.1,5.2,2.7,44,Female,Black,"£30,000-£50,000",Postgraduate
I have had mostly positive experiences with prescribed medications.,6.8,9.4,2.0,1.9,4.4,78,Non-binary,Asian,"< £30,000",Postgraduate
I get sweaty palms before appointments. I have had mostly positive experiences with prescribed medications.,5.6,7.9,2.9,8.5,4.7,52,Non-binary,White,"£30,000-£50,000",University Degree
I get sweaty palms before appointments. My physician always listens to me. I have had mostly positive experiences with prescribed medications.,6.7,2.0,9.1,8.1,4.0,19,Female,Asian,"£30,000-£50,000",High School
I don’t get what doctors say most of the time.,1.3,8.2,2.2,3.0,3.3,69,Female,White,"£30,000-£50,000",College Diploma
,3.4,7.0,6.5,2.0,3.6,71,Male,Black,"£30,000-£50,000",College Diploma
I feel confident navigating health portals and understanding prescriptions.,9.3,2.4,6.4,4.1,2.8,79,Female,White,"£30,000-£50,000",Postgraduate
I avoid going to hospitals unless absolutely necessary.,3.6,4.2,1.3,9.8,3.5,53,Non-binary,White,"< £30,000",College Diploma
,5.5,4.5,5.9,4.4,2.4,52,Female,Asian,"> £50,000",High School
"After a few trials, I found the right medication for my condition.",5.2,3.5,2.6,6.0,4.4,67,Male,White,"> £50,000",College Diploma
I feel lost when reading health information. I get sweaty palms before appointments. Medication has been effective in managing my symptoms.,2.4,1.3,3.2,9.8,4.3,39,Female,Asian,"> £50,000",College Diploma
Visiting the doctor makes me nervous.,6.4,9.4,5.0,9.8,2.2,34,Non-binary,White,"> £50,000",University Degree
,3.2,6.7,4.4,6.6,2.2,80,Male,White,"< £30,000",Postgraduate
"Clinics give me panic attacks sometimes. After a few trials, I found the right medication for my condition.",6.6,3.5,1.5,9.2,4.5,68,Female,White,"< £30,000",High School
I always research symptoms and medication before appointments. My trust in healthcare professionals is very high.,9.7,7.4,7.1,6.0,1.5,61,Female,Other,"> £50,000",Postgraduate
"I don’t get what doctors say most of the time. I’ve had the same doctor for years, and I feel confident in their care. Medication has been effective in managing my symptoms.",2.7,3.6,9.0,2.6,4.7,74,Non-binary,Asian,"> £50,000",College Diploma
Medication has been effective in managing my symptoms.,5.7,7.4,2.0,3.4,4.8,36,Male,Not Specified,"£30,000-£50,000",College Diploma
,3.4,3.7,2.8,2.2,1.9,80,Non-binary,Asian,"£30,000-£50,000",Postgraduate
"After a few trials, I found the right medication for my condition.",6.8,5.1,6.0,2.1,4.2,54,Male,Not Specified,"£30,000-£50,000",High School
"I always research symptoms and medication before appointments. After a few trials, I found the right medication for my condition.",8.1,1.2,4.5,1.6,4.2,51,Female,Black,"£30,000-£50,000",High School
I always research symptoms and medication before appointments.,7.6,9.1,3.1,5.1,1.7,58,Male,Other,"£30,000-£50,000",High School
Clinics give me panic attacks sometimes.,4.3,5.7,1.5,7.4,3.2,32,Female,Asian,"£30,000-£50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. I avoid going to hospitals unless absolutely necessary. Doctors have always helped me recover well. I have had mostly positive experiences with prescribed medications.,8.5,3.4,9.1,10.0,4.7,56,Non-binary,White,"£30,000-£50,000",Postgraduate
I always research symptoms and medication before appointments.,8.0,8.3,6.2,2.7,3.7,75,Female,Asian,"< £30,000",University Degree
I feel confident navigating health portals and understanding prescriptions.,7.4,9.9,5.9,3.4,3.7,42,Male,Black,"< £30,000",University Degree
I feel confident navigating health portals and understanding prescriptions.,9.8,2.6,3.9,5.9,1.7,57,Non-binary,Other,"£30,000-£50,000",College Diploma
I don’t get what doctors say most of the time. My trust in healthcare professionals is very high.,1.2,4.0,8.8,1.4,2.7,77,Female,Black,"< £30,000",College Diploma
"Medical journals help me stay informed about my condition. I trust my doctor and their advice completely. Some drugs caused side effects, but I worked with my doctor to adjust.",7.9,9.6,9.9,4.8,4.8,18,Female,Black,"< £30,000",University Degree
I feel lost when reading health information.,1.3,7.7,6.8,3.2,3.0,49,Female,Other,"£30,000-£50,000",University Degree
I feel lost when reading health information.,2.2,8.8,4.2,6.6,1.6,36,Non-binary,Asian,"£30,000-£50,000",College Diploma
"I feel lost when reading health information. Clinics give me panic attacks sometimes. I’ve had the same doctor for years, and I feel confident in their care.",2.9,9.9,7.8,9.7,2.2,45,Female,Black,"< £30,000",College Diploma
I often nod even when I don’t understand.,2.5,5.5,5.5,2.6,3.9,18,Female,White,"< £30,000",University Degree
,4.3,2.7,4.0,6.1,3.9,64,Female,Black,"< £30,000",College Diploma
Visiting the doctor makes me nervous. Prescription drugs really helped my chronic pain.,5.3,5.7,2.3,9.2,4.7,62,Non-binary,White,"< £30,000",College Diploma
My doctor uses terminology I understand well. Prescription drugs really helped my chronic pain.,7.2,1.2,5.8,6.7,5.0,60,Male,White,"< £30,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions. I get sweaty palms before appointments.,10.0,8.7,1.6,9.6,3.5,58,Female,Other,"< £30,000",Postgraduate
I understand most medical terms and ask informed questions.,8.2,4.7,3.9,5.2,1.6,59,Non-binary,Black,"> £50,000",University Degree
,4.2,8.7,1.3,2.4,1.5,38,Non-binary,Asian,"> £50,000",University Degree
Prescription drugs really helped my chronic pain.,4.6,10.0,2.6,2.3,4.7,28,Male,Not Specified,"> £50,000",University Degree
"I always research symptoms and medication before appointments. Doctors have always helped me recover well. After a few trials, I found the right medication for my condition.",8.9,1.3,7.8,6.9,4.1,61,Female,Black,"> £50,000",University Degree
,5.5,9.9,1.4,3.1,2.6,80,Non-binary,Asian,"£30,000-£50,000",University Degree
,5.0,9.3,6.0,1.4,2.6,57,Male,Other,"< £30,000",High School
,4.7,9.7,6.4,6.7,3.9,39,Male,Not Specified,"> £50,000",High School
Medical journals help me stay informed about my condition. Visiting the doctor makes me nervous.,7.9,6.7,3.1,8.9,3.9,41,Female,Not Specified,"< £30,000",University Degree
"My doctor uses terminology I understand well. I avoid going to hospitals unless absolutely necessary. My physician always listens to me. Some drugs caused side effects, but I worked with my doctor to adjust.",7.7,10.0,8.2,8.5,4.8,37,Female,Other,"< £30,000",University Degree
"I don’t get what doctors say most of the time. Some drugs caused side effects, but I worked with my doctor to adjust.",2.4,5.5,6.2,4.0,4.4,46,Non-binary,Asian,"< £30,000",Postgraduate
"I feel confident navigating health portals and understanding prescriptions. I’ve had the same doctor for years, and I feel confident in their care.",7.9,7.5,10.0,3.3,3.9,55,Female,Not Specified,"£30,000-£50,000",College Diploma
Clinics give me panic attacks sometimes.,6.0,3.8,2.4,9.1,3.4,72,Non-binary,Black,"< £30,000",University Degree
My doctor uses terminology I understand well.,8.4,5.9,3.0,4.0,2.5,49,Non-binary,Not Specified,"< £30,000",College Diploma
I always research symptoms and medication before appointments. Clinics give me panic attacks sometimes. My physician always listens to me. I have had mostly positive experiences with prescribed medications.,9.8,1.1,9.9,9.8,5.0,25,Non-binary,Black,"£30,000-£50,000",High School
,5.3,9.7,4.6,1.2,1.9,76,Non-binary,Black,"£30,000-£50,000",High School
I understand most medical terms and ask informed questions.,9.5,1.1,5.9,1.7,2.1,50,Female,Not Specified,"> £50,000",College Diploma
Medical terms confuse me a lot. I feel really anxious before seeing any doctor.,1.8,8.7,6.3,9.1,3.8,22,Female,Black,"£30,000-£50,000",Postgraduate
I always research symptoms and medication before appointments.,9.7,5.6,6.7,6.2,2.9,36,Non-binary,Other,"< £30,000",University Degree
Medical journals help me stay informed about my condition. I avoid going to hospitals unless absolutely necessary. My physician always listens to me.,8.6,6.8,8.2,8.1,1.8,38,Male,White,"£30,000-£50,000",University Degree
I feel really anxious before seeing any doctor. I have had mostly positive experiences with prescribed medications.,6.9,2.8,6.2,7.1,5.0,77,Female,Black,"£30,000-£50,000",High School
"Medical terms confuse me a lot. Some drugs caused side effects, but I worked with my doctor to adjust.",1.3,1.8,1.7,4.6,4.3,54,Male,Asian,"£30,000-£50,000",Postgraduate
Medical journals help me stay informed about my condition. Doctors have always helped me recover well.,8.6,7.6,9.1,3.9,1.4,35,Female,Other,"< £30,000",Postgraduate
I often nod even when I don’t understand. Clinics give me panic attacks sometimes. My physician always listens to me.,1.5,8.7,7.6,7.3,2.4,77,Male,Not Specified,"£30,000-£50,000",High School
Visiting the doctor makes me nervous.,4.4,9.6,1.6,8.0,2.2,70,Female,Black,"> £50,000",University Degree
I feel lost when reading health information. I get sweaty palms before appointments.,1.4,7.7,4.0,7.5,3.8,58,Female,Asian,"£30,000-£50,000",High School
,5.8,8.0,6.2,3.6,3.9,54,Non-binary,White,"> £50,000",High School
Doctors have always helped me recover well. Prescription drugs really helped my chronic pain.,6.3,1.1,9.1,5.9,4.5,25,Male,Not Specified,"> £50,000",University Degree
My doctor uses terminology I understand well.,8.9,5.0,5.6,4.7,2.8,54,Male,Not Specified,"< £30,000",University Degree
"I understand most medical terms and ask informed questions. Some drugs caused side effects, but I worked with my doctor to adjust.",9.1,8.1,2.1,6.5,5.0,24,Non-binary,White,"> £50,000",Postgraduate
Doctors have always helped me recover well.,6.4,8.1,7.9,4.2,2.5,75,Female,Black,"> £50,000",University Degree
I understand most medical terms and ask informed questions. I get sweaty palms before appointments. Medication has been effective in managing my symptoms.,7.5,5.5,6.1,7.4,4.1,35,Non-binary,Not Specified,"> £50,000",University Degree
,3.4,2.3,3.6,5.6,2.4,55,Female,Other,"< £30,000",University Degree
,6.1,1.5,5.6,4.3,3.1,70,Female,Asian,"> £50,000",University Degree
My trust in healthcare professionals is very high.,4.8,3.6,9.1,2.7,3.7,66,Non-binary,Black,"> £50,000",High School
I understand most medical terms and ask informed questions. Doctors have always helped me recover well.,9.3,5.8,8.9,2.1,3.0,21,Male,Black,"< £30,000",Postgraduate
,5.1,1.1,5.0,4.3,3.7,64,Non-binary,Not Specified,"> £50,000",High School
I understand most medical terms and ask informed questions.,9.4,1.8,3.9,5.0,2.8,70,Male,Asian,"> £50,000",College Diploma
I feel confident navigating health portals and understanding prescriptions. I get sweaty palms before appointments. I have had mostly positive experiences with prescribed medications.,8.0,5.0,1.2,7.4,4.5,76,Female,White,"£30,000-£50,000",High School
,5.6,6.2,2.5,3.0,1.9,37,Female,Asian,"< £30,000",University Degree
,4.9,9.4,5.7,2.7,2.1,68,Male,Other,"£30,000-£50,000",College Diploma
,4.5,6.6,5.0,4.5,3.3,51,Female,Not Specified,"< £30,000",High School
,3.2,1.7,1.2,3.3,1.4,29,Non-binary,Black,"> £50,000",High School
"My trust in healthcare professionals is very high. After a few trials, I found the right medication for my condition.",4.0,8.0,7.4,6.5,4.4,31,Non-binary,Not Specified,"£30,000-£50,000",Postgraduate
,3.5,9.0,4.6,4.6,2.6,67,Male,Not Specified,"< £30,000",Postgraduate
I feel lost when reading health information.,1.9,9.8,2.2,4.1,2.3,71,Non-binary,White,"£30,000-£50,000",University Degree
I don’t get what doctors say most of the time. Medication has been effective in managing my symptoms.,1.7,2.4,1.4,3.6,4.5,18,Male,Not Specified,"> £50,000",College Diploma
Clinics give me panic attacks sometimes.,4.1,2.1,6.8,10.0,1.9,47,Non-binary,White,"£30,000-£50,000",University Degree
,3.5,9.7,2.6,5.6,2.0,53,Female,Other,"> £50,000",College Diploma
I understand most medical terms and ask informed questions. My trust in healthcare professionals is very high.,9.4,9.8,8.3,3.8,2.6,32,Female,White,"> £50,000",University Degree
"I’ve had the same doctor for years, and I feel confident in their care.",3.2,9.0,9.2,4.8,3.6,66,Male,Other,"> £50,000",High School
I don’t get what doctors say most of the time.,2.5,4.9,6.7,4.5,2.4,30,Male,Other,"< £30,000",High School
Medical terms confuse me a lot. I get sweaty palms before appointments. My physician always listens to me.,1.0,8.2,9.0,9.7,3.9,54,Male,Not Specified,"< £30,000",High School
"I’ve had the same doctor for years, and I feel confident in their care.",5.9,3.4,10.0,6.3,3.7,72,Non-binary,Other,"£30,000-£50,000",College Diploma
I always research symptoms and medication before appointments.,7.1,8.6,1.1,3.0,3.7,40,Male,Black,"> £50,000",Postgraduate
"I understand most medical terms and ask informed questions. After a few trials, I found the right medication for my condition.",9.1,7.2,4.7,4.3,4.0,54,Male,Not Specified,"£30,000-£50,000",High School
I feel confident navigating health portals and understanding prescriptions. Clinics give me panic attacks sometimes.,7.7,6.5,3.6,9.3,3.2,20,Female,Asian,"< £30,000",College Diploma
I feel confident navigating health portals and understanding prescriptions. I get sweaty palms before appointments.,8.1,2.9,4.1,8.9,1.2,63,Female,Black,"£30,000-£50,000",High School
Doctors have always helped me recover well.,5.6,5.3,7.8,3.5,1.9,49,Male,Other,"£30,000-£50,000",College Diploma
I understand most medical terms and ask informed questions. Prescription drugs really helped my chronic pain.,9.3,6.1,1.9,2.7,5.0,23,Male,Asian,"> £50,000",Postgraduate
I don’t get what doctors say most of the time. I avoid going to hospitals unless absolutely necessary. I have had mostly positive experiences with prescribed medications.,2.8,6.5,4.8,9.0,4.0,31,Female,Black,"> £50,000",High School
Doctors have always helped me recover well. Prescription drugs really helped my chronic pain.,6.4,1.1,8.9,5.0,4.7,38,Female,White,"£30,000-£50,000",University Degree
Clinics give me panic attacks sometimes.,5.5,7.2,1.6,7.7,2.4,23,Non-binary,Asian,"£30,000-£50,000",Postgraduate
,4.2,2.1,2.3,2.7,2.3,55,Female,Not Specified,"< £30,000",University Degree
My doctor uses terminology I understand well. Doctors have always helped me recover well.,9.0,4.3,7.5,1.7,3.4,40,Male,White,"£30,000-£50,000",University Degree
My trust in healthcare professionals is very high. Prescription drugs really helped my chronic pain.,5.3,9.8,8.6,5.1,4.1,79,Non-binary,Not Specified,"< £30,000",College Diploma
Medical terms confuse me a lot.,2.7,6.1,1.7,4.1,1.9,48,Female,Black,"£30,000-£50,000",High School
Medical journals help me stay informed about my condition. I trust my doctor and their advice completely.,7.5,5.4,7.8,5.6,1.3,52,Non-binary,Other,"> £50,000",Postgraduate
"Medical journals help me stay informed about my condition. I’ve had the same doctor for years, and I feel confident in their care. Some drugs caused side effects, but I worked with my doctor to adjust.",7.6,8.5,9.1,6.1,4.0,39,Male,Asian,"< £30,000",High School
I always research symptoms and medication before appointments.,7.8,2.4,2.5,1.6,2.3,22,Non-binary,Other,"< £30,000",High School
I avoid going to hospitals unless absolutely necessary.,5.3,10.0,4.9,7.5,3.8,57,Non-binary,Other,"£30,000-£50,000",College Diploma
"I don’t get what doctors say most of the time. I avoid going to hospitals unless absolutely necessary. After a few trials, I found the right medication for my condition.",2.8,1.5,5.9,7.3,5.0,52,Non-binary,Asian,"£30,000-£50,000",University Degree
Clinics give me panic attacks sometimes.,4.2,9.1,4.4,7.2,3.4,20,Male,Not Specified,"> £50,000",High School
It’s hard to follow what my doctor says. Medication has been effective in managing my symptoms.,1.5,1.7,1.2,4.3,4.0,49,Male,White,"£30,000-£50,000",College Diploma
"I often nod even when I don’t understand. I avoid going to hospitals unless absolutely necessary. Some drugs caused side effects, but I worked with my doctor to adjust.",2.6,6.5,3.6,8.2,4.2,31,Female,Black,"> £50,000",High School
I understand most medical terms and ask informed questions. I avoid going to hospitals unless absolutely necessary.,8.0,5.7,3.6,8.3,1.7,47,Male,Not Specified,"> £50,000",College Diploma
I get sweaty palms before appointments. I trust my doctor and their advice completely.,3.6,2.7,7.1,7.2,3.6,68,Male,White,"> £50,000",Postgraduate
My trust in healthcare professionals is very high.,4.7,1.9,9.2,5.6,2.6,44,Female,Other,"£30,000-£50,000",High School
,6.3,2.7,2.2,4.6,1.9,29,Male,Not Specified,"> £50,000",University Degree
,3.2,9.0,5.8,5.4,3.8,78,Non-binary,Not Specified,"£30,000-£50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. My trust in healthcare professionals is very high.,9.6,2.0,8.5,6.3,1.6,73,Female,Asian,"< £30,000",College Diploma
Doctors have always helped me recover well.,3.7,5.3,7.2,3.2,3.1,65,Female,Black,"£30,000-£50,000",High School
I understand most medical terms and ask informed questions. I get sweaty palms before appointments. I trust my doctor and their advice completely.,7.2,5.0,8.8,8.8,2.9,35,Male,White,"> £50,000",Postgraduate
My doctor uses terminology I understand well.,9.8,1.7,1.0,4.4,3.4,68,Male,Other,"£30,000-£50,000",High School
I have had mostly positive experiences with prescribed medications.,6.7,5.3,2.1,2.5,4.4,37,Male,Not Specified,"> £50,000",High School
I feel confident navigating health portals and understanding prescriptions. My trust in healthcare professionals is very high.,8.8,7.1,7.0,6.4,1.8,49,Male,Not Specified,"£30,000-£50,000",Postgraduate
"Some drugs caused side effects, but I worked with my doctor to adjust.",4.9,7.3,5.8,1.2,4.8,32,Non-binary,Black,"< £30,000",Postgraduate
I always research symptoms and medication before appointments. Clinics give me panic attacks sometimes.,8.6,3.3,6.5,9.3,1.4,66,Female,Other,"< £30,000",University Degree
I avoid going to hospitals unless absolutely necessary.,5.5,5.1,4.7,8.5,2.5,63,Male,Not Specified,"< £30,000",High School
I feel lost when reading health information.,1.6,1.6,1.4,4.7,3.9,30,Non-binary,Other,"< £30,000",College Diploma
Medical terms confuse me a lot. I trust my doctor and their advice completely.,2.8,6.8,7.2,3.3,3.4,26,Female,Black,"£30,000-£50,000",University Degree
"My doctor uses terminology I understand well. After a few trials, I found the right medication for my condition.",7.2,5.2,4.0,6.6,4.9,77,Female,White,"> £50,000",College Diploma
,4.8,4.5,5.2,1.7,3.2,57,Male,Asian,"£30,000-£50,000",Postgraduate
,4.0,2.1,5.2,1.0,2.6,26,Male,Asian,"£30,000-£50,000",High School
I don’t get what doctors say most of the time. I get sweaty palms before appointments. My physician always listens to me.,2.0,1.2,8.4,9.2,1.8,19,Male,Other,"> £50,000",University Degree
,5.9,3.5,5.4,4.9,2.1,28,Female,Asian,"< £30,000",High School
I always research symptoms and medication before appointments. Clinics give me panic attacks sometimes.,7.3,2.1,1.5,7.9,3.7,21,Non-binary,Other,"> £50,000",University Degree
,5.5,5.2,5.5,4.9,2.6,27,Female,Not Specified,"£30,000-£50,000",High School
"Visiting the doctor makes me nervous. I’ve had the same doctor for years, and I feel confident in their care.",5.5,5.8,7.2,7.4,2.5,55,Non-binary,Not Specified,"£30,000-£50,000",College Diploma
Prescription drugs really helped my chronic pain.,4.7,4.4,5.8,5.1,4.6,73,Non-binary,Other,"< £30,000",College Diploma
My doctor uses terminology I understand well. I avoid going to hospitals unless absolutely necessary. I trust my doctor and their advice completely.,7.3,9.1,7.4,9.7,3.5,41,Male,Other,"£30,000-£50,000",College Diploma
"I always research symptoms and medication before appointments. After a few trials, I found the right medication for my condition.",9.7,2.4,1.5,6.2,4.9,34,Non-binary,Black,"< £30,000",Postgraduate
,4.8,2.9,5.7,6.8,2.3,52,Non-binary,White,"< £30,000",College Diploma
Medical journals help me stay informed about my condition. My physician always listens to me.,7.4,9.8,9.1,3.6,2.3,37,Female,Not Specified,"£30,000-£50,000",High School
Visiting the doctor makes me nervous.,4.3,4.6,1.9,7.9,2.5,21,Female,White,"< £30,000",Postgraduate
I always research symptoms and medication before appointments. I feel really anxious before seeing any doctor.,8.9,9.3,1.2,9.9,3.8,62,Non-binary,Black,"< £30,000",College Diploma
,5.7,4.5,5.7,3.9,3.5,56,Female,Black,"£30,000-£50,000",Postgraduate
Medical terms confuse me a lot.,1.8,6.6,3.5,1.2,3.2,64,Male,White,"> £50,000",University Degree
I avoid going to hospitals unless absolutely necessary.,6.2,4.8,1.7,9.0,3.4,44,Non-binary,Not Specified,"< £30,000",High School
I don’t get what doctors say most of the time.,2.0,5.6,5.5,1.5,3.4,47,Female,Not Specified,"£30,000-£50,000",High School
I understand most medical terms and ask informed questions. I feel really anxious before seeing any doctor.,8.3,7.7,2.8,8.8,2.4,24,Female,Black,"< £30,000",University Degree
I always research symptoms and medication before appointments.,9.5,1.6,5.4,6.4,2.0,19,Female,Black,"> £50,000",Postgraduate
I always research symptoms and medication before appointments.,7.9,6.6,1.2,6.5,3.0,30,Male,Other,"< £30,000",College Diploma
I feel lost when reading health information. Doctors have always helped me recover well.,2.8,10.0,9.1,3.6,3.2,24,Male,Not Specified,"£30,000-£50,000",High School
"My physician always listens to me. After a few trials, I found the right medication for my condition.",3.8,8.0,9.4,4.2,4.2,74,Male,Other,"£30,000-£50,000",College Diploma
Doctors have always helped me recover well.,5.5,4.6,9.4,5.6,2.9,19,Female,Asian,"> £50,000",University Degree
I understand most medical terms and ask informed questions. I feel really anxious before seeing any doctor.,7.1,3.4,3.9,9.4,3.7,68,Male,Other,"< £30,000",College Diploma
My doctor uses terminology I understand well. Visiting the doctor makes me nervous.,8.4,3.4,5.9,9.7,2.3,48,Male,Other,"£30,000-£50,000",University Degree
Medical terms confuse me a lot. Prescription drugs really helped my chronic pain.,2.4,5.6,4.5,2.4,4.6,21,Male,Black,"£30,000-£50,000",University Degree
"I always research symptoms and medication before appointments. Clinics give me panic attacks sometimes. I’ve had the same doctor for years, and I feel confident in their care.",9.9,6.1,8.0,8.7,3.8,41,Male,White,"> £50,000",Postgraduate
Medical terms confuse me a lot.,1.4,2.4,1.6,1.1,2.2,29,Male,Not Specified,"£30,000-£50,000",High School
,4.5,3.2,1.6,5.8,2.1,79,Non-binary,White,"> £50,000",University Degree
Medical journals help me stay informed about my condition. I get sweaty palms before appointments. I trust my doctor and their advice completely.,8.2,1.1,8.6,9.6,3.9,37,Non-binary,Other,"£30,000-£50,000",College Diploma
I feel confident navigating health portals and understanding prescriptions. I feel really anxious before seeing any doctor. Prescription drugs really helped my chronic pain.,7.6,9.4,2.9,10.0,4.1,31,Non-binary,Black,"£30,000-£50,000",University Degree
Medical journals help me stay informed about my condition.,7.5,4.2,5.9,6.9,3.5,77,Male,Other,"£30,000-£50,000",High School
I feel confident navigating health portals and understanding prescriptions.,7.3,1.7,4.2,4.9,2.0,56,Female,Not Specified,"< £30,000",College Diploma
